2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0.0,0.0,0.0,3.8617062963631046e-18,0.0,3.1184629361802764e-18,0.0,8.703185305932326e-18,0.0,1.3523402502402537e-18,3.528932782595218e-18,2.574342303010534e-18,5.100212438491185e-18,2.0562023198862545e-18,3.072016875065467e-18
0.0,1.9521610947185382e-18,0.0,2.426435658599124e-18,2.600496758829452e-18,0.0,1.0462041063104757e-19,0.0,3.964343051895642e-18,2.4599529882396927e-18,2.81089724689349e-18,1.1256007117214931e-18,0.0,0.0,1.9659408300046007e-18
0.0,1.0996938097315437e-18,2.5628077785057296e-19,0.0,0.0,5.362908602838857e-20,7.505689019478417e-19,3.975033350837085e-18,0.0,2.0612294126607683e-19,0.0,2.722704964392133e-18,1.7403054229736524e-18,0.0,0.0
2.0091951918202645e-18,0.0,1.5766744320689869e-18,2.7253687579796855e-18,1.5634719912370642e-19,2.374806033928172e-18,0.0,1.0966171903783216e-18,1.5666268672732854e-18,1.5597159804214528e-18,8.626047815418787e-19,0.0,2.4293797485237722e-18,2.1699440911591496e-18,0.0
0.0,0.0,0.0,1.7225971188792699e-18,2.767259573726018e-18,0.0,0.0,0.0,0.0,0.0,0.0,1.4340637820774372e-18,0.0,1.4546788970961513e-18,4.231955527218448e-18
6.474907093463076e-20,0.0,4.4551254473027e-18,3.5534729092706495e-18,0.0,1.3125077069630853e-18,3.755973290781592e-18,8.838160689895232e-19,5.3574933434809155e-18,3.142944956936953e-18,0.0,3.57032791492656e-19,0.0,2.6623145231324446e-19,0.0
0.0,4.603261151932154e-18,1.1064664158797608e-18,5.885123929548409e-18,1.6819731154938904e-18,4.354645303164169e-18,3.553988715702399e-18,0.0,1.6910553784450844e-18,6.015417107888312e-18,0.0,4.113834520220176e-18,0.0,1.0518352838390877e-17,0.0
0.0,1.6627748825402629e-18,5.293554996689553e-18,0.0,0.0,1.7527835734777464e-18,0.0,0.0,2.6291234837947858e-18,0.0,5.1107749100528875e-18,0.0,7.222605374998756e-20,0.0,1.4774984769457423e-18
0.05223116012415907,0.05223147522010708,0.05223078526947952,0.05223134213766223,0.0522306202839307,0.05222908692011435,0.05222975606235178,0.052230257761141395,0.05223111919006558,0.052230579753303814,0.052229578659231723,0.05222975493554961,0.052229396988423334,0.05222993253130147,0.05223003656572448
0.0,3.61324162409194e-18,2.3599750415949088e-18,3.1603740600153302e-18,1.1384865092823805e-18,9.446957837370535e-19,0.0,1.1425765683375691e-18,0.0,2.9911475408694904e-19,4.812739656084466e-18,0.0,1.6917575685662224e-18,0.0,2.0666545824039605e-19
